GEOID,population,station_complex_id,station_complex_name,orig_node,network_dist_m,network_dist_mi
360610303002,1070,297.0,215 St (1),6864952439,520.0712762525619,0.32315811217801205
360610307003,1909,297.0,215 St (1),9561209045,538.1739719628413,0.33440663375224705
360610303003,1702,297.0,215 St (1),11587349760,562.795038124007,0.34970549301204656
360610293005,2607,297.0,215 St (1),11596111953,629.4981402591518,0.39115298212879307
360610293004,1078,297.0,215 St (1),9561420826,643.8745880803498,0.400086114854754
360610295004,1801,297.0,215 St (1),8952453946,694.9717901205024,0.43183652312159176
360610293003,3061,297.0,215 St (1),11586960670,739.4601821000846,0.459480396995094
360610293002,1081,297.0,215 St (1),11587266303,745.38460224662,0.46316167015461
360610291002,1903,297.0,215 St (1),10032506100,761.9228449681133,0.473438083293843
360610295003,2128,297.0,215 St (1),8952453917,852.845799089529,0.529935128120552
360610291001,1748,297.0,215 St (1),9561420880,956.2695392299601,0.59419982056617
360610299000,0,297.0,215 St (1),3588534037,983.8482884878078,0.6113365034658977
360610291003,1711,297.0,215 St (1),11587200855,1027.2798207664782,0.6383236735347896
360610309002,2270,297.0,215 St (1),10868090625,1042.2677567730466,0.6476367683479232
360610291007,647,297.0,215 St (1),8395710040,1042.3388244100668,0.6476809278400256
360610309003,3463,297.0,215 St (1),2303340578,1071.6090623773123,0.665868655708124
360610309005,2503,297.0,215 St (1),10868090747,1077.7695943236506,0.6696966423028389
360610295001,2266,297.0,215 St (1),9561420912,1119.1291833497469,0.6953963633226956
360610291005,1658,297.0,215 St (1),8395710041,1138.5549810272264,0.7074670243871565
360610295002,1710,297.0,215 St (1),9561395264,1152.1302328315169,0.7159023157514988
360610299003,837,297.0,215 St (1),11596481886,1182.4853305241413,0.734764145876037
360610309004,2954,297.0,215 St (1),10868090698,1187.8703461120688,0.7381102477488094
360610297001,21,297.0,215 St (1),1760596660,1205.1782883606147,0.7488649311895651
360610291004,2047,297.0,215 St (1),9561395295,1207.6654912729261,0.7504104112697915
360610287003,1700,297.0,215 St (1),9561395292,1229.7618230301914,0.7641404694037254
360610285001,2981,297.0,215 St (1),9561420848,1237.632045145267,0.7690308108574118
360610291006,2434,297.0,215 St (1),1764400288,1298.3182847719709,0.8067395856512427
360050289001,1141,297.0,215 St (1),13039230846,1302.1615022012068,0.8091276561827873
360050289002,1526,297.0,215 St (1),13039230843,1310.164620162135,0.8141005754919004
360050283001,968,297.0,215 St (1),5130958280,1344.630502195122,0.835516734931787
360610299001,2670,297.0,215 St (1),11294615537,1357.52103846935,0.8435265627333877
360050273001,929,297.0,215 St (1),42731479,1377.8922421641955,0.8561846733221045
360610309001,0,297.0,215 St (1),2041169515,1391.9691323044015,0.8649316690720429
360050269003,728,297.0,215 St (1),7043045076,1396.990259359854,0.8680516605315558
360610285002,2064,297.0,215 St (1),9561344693,1416.896284826251,0.8804207220514317
360610287002,1806,297.0,215 St (1),9561386490,1455.8083712523726,0.9045996316827847
360050273004,1803,297.0,215 St (1),13037124062,1552.1674002254747,0.9644745052167192
360050289004,732,297.0,215 St (1),8499608055,1571.7098324347246,0.9766176397993741
360050277001,1172,297.0,215 St (1),13037033432,1584.1080469889196,0.9843215523064857
360610293002,1081,298.0,207 St (1),11587266303,103.50208499790321,0.06431337380410802
360610293005,2607,298.0,207 St (1),11596111953,164.6273787082802,0.1022949648354482
360610293001,1732,298.0,207 St (1),42427873,215.32694636567334,0.1337982939376846
360610293004,1078,298.0,207 St (1),9561420826,266.4549592035253,0.1655678471942071
360610293003,3061,298.0,207 St (1),11586960670,380.69691185267715,0.23655468195202825
360610291003,1711,298.0,207 St (1),11587200855,385.39730351776143,0.23947537718428763
360610299000,0,298.0,207 St (1),3588534037,389.92577901514767,0.2422892483969501
360610291007,647,298.0,207 St (1),8395710040,475.509081639181,0.2954683793599743
360610295004,1801,298.0,207 St (1),8952453946,516.1357630800818,0.3207126915879067
360610291001,1748,298.0,207 St (1),9561420880,522.5139341146087,0.32467591317845124
360610291005,1658,298.0,207 St (1),8395710041,571.7252382563407,0.35525447590710524
360610291002,1903,298.0,207 St (1),10032506100,575.1670997224468,0.35739315478546907
360610299003,837,298.0,207 St (1),11596481886,585.2718020102154,0.36367194129905145
360610303001,1526,298.0,207 St (1),11587266235,585.3817992730582,0.36374029059928803
360610303002,1070,298.0,207 St (1),6864952439,595.4048665389256,0.36996835133590517
360610285001,2981,298.0,207 St (1),9561420848,611.4026823288785,0.3799089579137277
360610291006,2434,298.0,207 St (1),1764400288,656.4357675232541,0.40789128930074076
360610295003,2128,298.0,207 St (1),8952453917,673.910717003333,0.41874974648199453
360610299001,2670,298.0,207 St (1),11294615537,715.6385212206332,0.44467826638288566
360610307001,795,298.0,207 St (1),11587266258,736.3967006110979,0.45757683311860636
360610285002,2064,298.0,207 St (1),9561344693,775.013767577534,0.4815724257009296
360610299002,0,298.0,207 St (1),11591951183,831.7560565601391,0.5168305370898251
360610291004,2047,298.0,207 St (1),9561395295,835.0240008435858,0.5188611485724495
360610303003,1702,298.0,207 St (1),11587349760,850.7552303487887,0.5286361057009636
360610287003,1700,298.0,207 St (1),9561395292,850.9471375034248,0.5287553515748225
360610295001,2266,298.0,207 St (1),9561420912,940.194101263551,0.5842109816841383
360610295002,1710,298.0,207 St (1),9561395264,970.2792492158911,0.6029050723997982
360610285004,2280,298.0,207 St (1),11594920829,999.5247030507181,0.6210774000837102
360610307002,1329,298.0,207 St (1),12181615047,1004.9068091271301,0.6244216940653499
360610283002,3690,298.0,207 St (1),9561314666,1013.7628621969891,0.6299246039972841
360050257001,1732,298.0,207 St (1),12993728189,1018.3861989880374,0.6327974194315915
360610283004,2345,298.0,207 St (1),9561314675,1023.2909355213618,0.6358450889938496
360610307003,1909,298.0,207 St (1),9561209045,1047.4674364430984,0.6508677075342056
360610283003,1075,298.0,207 St (1),11594925578,1059.610564644111,0.6584131163359582
360610297001,21,298.0,207 St (1),1760596660,1061.163727887595,0.6593782096310259
360610287002,1806,298.0,207 St (1),9561386490,1128.2217402519398,0.7010462302881553
360610285003,1083,298.0,207 St (1),11594920865,1128.546853163243,0.7012482465875719
360610277004,1007,298.0,207 St (1),5403868122,1271.1669582826678,0.7898684916069121
360050255003,1738,298.0,207 St (1),10170163957,1305.5907609967142,0.8112585041052321
360050263001,838,298.0,207 St (1),10091975419,1374.1102387027636,0.8538346394812555
360610279007,720,298.0,207 St (1),42427773,1383.6765600611898,0.8597788907634122
360610283001,916,298.0,207 St (1),7395403289,1397.5229559243996,0.8683826636536716
360610279005,1522,298.0,207 St (1),11594925624,1398.5330711099464,0.8690103216908462
360610279002,2434,298.0,207 St (1),11596481952,1405.6900100172447,0.8734574484057097
360050263003,1253,298.0,207 St (1),9227822620,1415.4883779940642,0.8795458871301678
360610277003,2813,298.0,207 St (1),5403868132,1431.1081902858418,0.889251612639866
360050249001,0,298.0,207 St (1),10135688054,1437.9041797018322,0.893474455181523
360610279006,1438,298.0,207 St (1),42437944,1467.5734030956858,0.9119101017160363
360050247001,814,298.0,207 St (1),8253495170,1493.0788976532378,0.9277585206688692
360050255002,3217,298.0,207 St (1),42747812,1521.1928286805855,0.9452277509293161
360610277001,2059,298.0,207 St (1),11596481918,1524.3123066934781,0.9471661095191061
360610277002,780,298.0,207 St (1),5403868142,1588.6577731090665,0.9871486280767685
360610287000,0,298.0,207 St (1),1209671140,1606.349810540364,0.9981419777923646
360050255001,2771,298.0,207 St (1),42747810,1607.6630191864012,0.9989579698425449
360610291006,2434,299.0,Dyckman St (1),1764400288,161.55979781196874,0.10038885369901247
360610285001,2981,299.0,Dyckman St (1),9561420848,208.78932755633332,0.12973599584695175
360610285002,2064,299.0,Dyckman St (1),9561344693,251.40135659121165,0.15621394894255514
360610299001,2670,299.0,Dyckman St (1),11294615537,254.09469233230686,0.1578875143427162
360610291003,1711,299.0,Dyckman St (1),11587200855,334.35245998909016,0.20775750306901597
360610283002,3690,299.0,Dyckman St (1),9561314666,448.48569365417313,0.27867678281418046
360610287003,1700,299.0,Dyckman St (1),9561395292,448.8278161920611,0.2788893684318175
360610283004,2345,299.0,Dyckman St (1),9561314675,458.0137669785458,0.2845972678107459
360610285004,2280,299.0,Dyckman St (1),11594920829,468.09569907009353,0.2908619055451884
360610291004,2047,299.0,Dyckman St (1),9561395295,481.7167905744304,0.29932568044939567
360610291007,647,299.0,Dyckman St (1),8395710040,493.1881658866471,0.3064536803202848
360610283003,1075,299.0,Dyckman St (1),11594925578,528.1815606634864,0.32819762179743645
360610277004,1007,299.0,Dyckman St (1),5403868122,557.6894643330288,0.3465330286533789
360610291001,1748,299.0,Dyckman St (1),9561420880,577.0559995231547,0.35856686562389223
360610291005,1658,299.0,Dyckman St (1),8395710041,589.4043225038068,0.36623977686741577
360610285003,1083,299.0,Dyckman St (1),11594920865,597.1178491826184,0.37103275204905023
360610293002,1081,299.0,Dyckman St (1),11587266303,614.0055765357954,0.3815263254102896
360610299003,837,299.0,Dyckman St (1),11596481886,624.8677362340629,0.38827577530792934
360610279007,720,299.0,Dyckman St (1),42427773,679.0573622492767,0.4219477315230323
360610279002,2434,299.0,Dyckman St (1),11596481952,701.0708122053318,0.43562628916532975
360610287002,1806,299.0,Dyckman St (1),9561386490,709.6446846862348,0.4409538597724749
360610277003,2813,299.0,Dyckman St (1),5403868132,717.6306963362028,0.4459161496863328
360610279006,1438,299.0,Dyckman St (1),42437944,762.9542052837727,0.4740789424756563
360610277001,2059,299.0,Dyckman St (1),11596481918,810.8348127438394,0.5038306465655731
