station_complex,station_complex_id,borough,latitude,longitude,geometry,avg_annual_ridership,log_avg_ridership
Beach 25 St (A),208.0,Queens,40.600067,-73.76135,POINT (-73.76135 40.600067),1080.7604015481375,6.986344994541213
Beach 36 St (A),207.0,Queens,40.595398,-73.76817,POINT (-73.76817 40.595398),562.6016569908079,6.334347720032283
Beach 44 St (A),206.0,Queens,40.59294,-73.77602,POINT (-73.77602 40.59294),499.93444605708754,6.216475246330317
Beach 60 St (A),205.0,Queens,40.592373,-73.78852,POINT (-73.78852 40.592373),1155.2253265602321,7.052915949407801
Beach 67 St (A),204.0,Queens,40.590927,-73.79692,POINT (-73.79692 40.590927),1529.5305999032414,7.333369751588569
"Beach 90 St (A,S)",200.0,Queens,40.588036,-73.813644,POINT (-73.813644 40.588036),494.7743105950653,6.2061208042108245
"Beach 98 St (A,S)",201.0,Queens,40.585308,-73.82056,POINT (-73.82056 40.585308),308.28640541848085,5.734267725988187
Bedford Av (L),120.0,Brooklyn,40.717304,-73.95687,POINT (-73.95687 40.717304),24743.203979196904,10.116346557913085
"Bedford Park Blvd (B,D)",211.0,Bronx,40.873245,-73.88714,POINT (-73.88714 40.873245),4265.993529269473,8.358664766727856
Bedford Park Blvd-Lehman College (4),380.0,Bronx,40.873413,-73.89006,POINT (-73.89006 40.873413),3683.697992259313,8.211943845297242
Bedford-Nostrand Avs (G),289.0,Brooklyn,40.68963,-73.95352,POINT (-73.95352 40.68963),6261.654027576198,8.742359340312412
"Bergen St (2,3)",339.0,Brooklyn,40.68083,-73.9751,POINT (-73.9751 40.68083),3323.8146468311566,8.10916920622219
"Bergen St (F,G)",236.0,Brooklyn,40.686146,-73.99086,POINT (-73.99086 40.686146),8518.586175616838,9.050123047706764
Beverley Rd (Q),45.0,Brooklyn,40.64403,-73.96449,POINT (-73.96449 40.64403),2752.4054789550073,7.920593780513914
"Beverly Rd (2,5)",357.0,Brooklyn,40.6451,-73.94896,POINT (-73.94896 40.6451),3159.6757982583454,8.05854114392446
"Bowery (J,Z)",103.0,Manhattan,40.72028,-73.99391,POINT (-73.99391 40.72028),2452.7697750362845,7.805380804666209
"Bowling Green (4,5)",414.0,Manhattan,40.70482,-74.01407,POINT (-74.01407 40.70482),17565.863328495405,9.773769640969196
"Briarwood (E,F)",258.0,Queens,40.70918,-73.82057,POINT (-73.82057 40.70918),3622.088292210934,8.195082060515588
"Brighton Beach (B,Q)",55.0,Brooklyn,40.57762,-73.96137,POINT (-73.96137 40.57762),8323.77237542332,9.026990972183345
"Broad Channel (A,S)",199.0,Queens,40.608383,-73.815926,POINT (-73.815926 40.608383),209.79372278664732,5.350880038171875
"Broad St (J,Z)",107.0,Manhattan,40.706474,-74.011055,POINT (-74.011055 40.706474),4415.804608127721,8.393171774287467
Broadway (G),286.0,Brooklyn,40.706093,-73.95031,POINT (-73.95031 40.706093),3289.410696329814,8.098767667679777
"Broadway (N,W)",4.0,Queens,40.76182,-73.92551,POINT (-73.92551 40.76182),9029.284470246734,9.108339148710701
"Broadway Junction (A,C,J,L,Z)",621.0,Brooklyn,40.678333,-73.90532,POINT (-73.90532 40.678333),5483.081095791002,8.609604828280927
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",619.0,Manhattan,40.725914,-73.99466,POINT (-73.99466 40.725914),28776.85413642961,10.267361416731381
"Bronx Park East (2,5)",425.0,Bronx,40.848827,-73.868454,POINT (-73.868454 40.848827),1506.366533623609,7.318119389772182
Brook Av (6),376.0,Bronx,40.807568,-73.91924,POINT (-73.91924 40.807568),3443.1992622157713,8.144446721660152
