station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
"233 St (2,5)",418.0,Bronx,40.893192,-73.857475,POINT (-73.857475 40.893192),2023,2784.9358974358975,7.932339145258066
"233 St (2,5)",418.0,Bronx,40.893192,-73.857475,POINT (-73.857475 40.893192),2024,2427.748427672956,7.795131353310259
238 St (1),294.0,Bronx,40.884666,-73.90087,POINT (-73.90087 40.884666),2023,3225.4423076923076,8.079135356445013
238 St (1),294.0,Bronx,40.884666,-73.90087,POINT (-73.90087 40.884666),2024,3039.3207547169814,8.01971830025439
25 Av (D),69.0,Brooklyn,40.597706,-73.98683,POINT (-73.98683 40.597706),2023,3141.089743589743,8.05264338097601
25 Av (D),69.0,Brooklyn,40.597706,-73.98683,POINT (-73.98683 40.597706),2024,3036.4716981132074,8.018780770111801
25 St (R),31.0,Brooklyn,40.660397,-73.99809,POINT (-73.99809 40.660397),2023,2657.8333333333335,7.885642709072942
25 St (R),31.0,Brooklyn,40.660397,-73.99809,POINT (-73.99809 40.660397),2024,2677.0503144654085,7.892844314149833
28 St (1),319.0,Manhattan,40.747215,-73.99336,POINT (-73.99336 40.747215),2023,9966.807692307691,9.207115948335884
28 St (1),319.0,Manhattan,40.747215,-73.99336,POINT (-73.99336 40.747215),2024,9991.786163522012,9.209618728005998
28 St (6),404.0,Manhattan,40.74307,-73.98426,POINT (-73.98426 40.74307),2023,14776.307692307691,9.600848019066746
28 St (6),404.0,Manhattan,40.74307,-73.98426,POINT (-73.98426 40.74307),2024,15562.981132075472,9.6527146218238
"28 St (R,W)",13.0,Manhattan,40.745495,-73.98869,POINT (-73.98869 40.745495),2023,8385.173076923076,9.034339566311324
"28 St (R,W)",13.0,Manhattan,40.745495,-73.98869,POINT (-73.98869 40.745495),2024,9172.006289308176,9.124020351142057
3 Av (L),118.0,Manhattan,40.73285,-73.98612,POINT (-73.98612 40.73285),2023,4610.782051282051,8.436369623395043
3 Av (L),118.0,Manhattan,40.73285,-73.98612,POINT (-73.98612 40.73285),2024,5005.050314465409,8.518402522773293
3 Av-138 St (6),377.0,Bronx,40.810474,-73.92614,POINT (-73.92614 40.810474),2023,5813.839743589744,8.668168505431087
3 Av-138 St (6),377.0,Bronx,40.810474,-73.92614,POINT (-73.92614 40.810474),2024,5270.987421383647,8.57016269025075
"3 Av-149 St (2,5)",434.0,Bronx,40.81611,-73.917755,POINT (-73.917755 40.81611),2023,11171.673076923076,9.321226172021076
"3 Av-149 St (2,5)",434.0,Bronx,40.81611,-73.917755,POINT (-73.917755 40.81611),2024,12084.704402515725,9.399778578779921
"30 Av (N,W)",3.0,Queens,40.76678,-73.92148,POINT (-73.92148 40.76678),2023,9911.935897435898,9.201595839496898
"30 Av (N,W)",3.0,Queens,40.76678,-73.92148,POINT (-73.92148 40.76678),2024,10157.264150943396,9.22604285525063
33 St (6),403.0,Manhattan,40.746082,-73.98208,POINT (-73.98208 40.746082),2023,19140.52564102564,9.859615371392776
33 St (6),403.0,Manhattan,40.746082,-73.98208,POINT (-73.98208 40.746082),2024,20700.553459119496,9.9379640227719
33 St-Rawson St (7),460.0,Queens,40.744587,-73.931,POINT (-73.931 40.744587),2023,6546.705128205129,8.786869905132068
33 St-Rawson St (7),460.0,Queens,40.744587,-73.931,POINT (-73.931 40.744587),2024,6417.635220125787,8.766960791550213
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",607.0,Manhattan,40.749718,-73.98782,POINT (-73.98782 40.749718),2023,75644.26923076923,11.23381018230763
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",607.0,Manhattan,40.749718,-73.98782,POINT (-73.98782 40.749718),2024,78604.13836477988,11.272192349878246
34 St-Hudson Yards (7),471.0,Manhattan,40.755882,-74.00191,POINT (-74.00191 40.755882),2023,18654.826923076922,9.83391381182786
34 St-Hudson Yards (7),471.0,Manhattan,40.755882,-74.00191,POINT (-74.00191 40.755882),2024,20773.880503144657,9.941499867752578
"34 St-Penn Station (1,2,3)",318.0,Manhattan,40.750374,-73.99106,POINT (-73.99106 40.750374),2023,50870.403846153844,10.837056234175831
"34 St-Penn Station (1,2,3)",318.0,Manhattan,40.750374,-73.99106,POINT (-73.99106 40.750374),2024,53828.3144654088,10.893573476296663
"34 St-Penn Station (A,C,E)",164.0,Manhattan,40.75229,-73.99339,POINT (-73.99339 40.75229),2023,55994.78846153846,10.933031760845214
"34 St-Penn Station (A,C,E)",164.0,Manhattan,40.75229,-73.99339,POINT (-73.99339 40.75229),2024,59623.723270440256,10.995825587013252
"36 Av (N,W)",5.0,Queens,40.756805,-73.92957,POINT (-73.92957 40.756805),2023,4745.775641025642,8.46522085411557
"36 Av (N,W)",5.0,Queens,40.756805,-73.92957,POINT (-73.92957 40.756805),2024,4910.490566037736,8.499332752322635
"36 St (D,N,R)",32.0,Brooklyn,40.655144,-74.00355,POINT (-74.00355 40.655144),2023,11065.076923076924,9.311639574733093
"36 St (D,N,R)",32.0,Brooklyn,40.655144,-74.00355,POINT (-74.00355 40.655144),2024,11324.610062893082,9.3348218175885
"36 St (M,R)",272.0,Queens,40.75204,-73.92878,POINT (-73.92878 40.75204),2023,2743.1153846153848,7.917214037748656
"36 St (M,R)",272.0,Queens,40.75204,-73.92878,POINT (-73.92878 40.75204),2024,2628.8427672955972,7.874679339086406
"39 Av-Dutch Kills (N,W)",6.0,Queens,40.75288,-73.932755,POINT (-73.932755 40.75288),2023,2659.1923076923076,7.886153695287433
"39 Av-Dutch Kills (N,W)",6.0,Queens,40.75288,-73.932755,POINT (-73.932755 40.75288),2024,2791.3836477987425,7.934650864112456
"4 Av (F,G)/9 St (R)",608.0,Brooklyn,40.670273,-73.98978,POINT (-73.98978 40.670273),2023,9123.134615384615,9.118678337283232
"4 Av (F,G)/9 St (R)",608.0,Brooklyn,40.670273,-73.98978,POINT (-73.98978 40.670273),2024,9245.72327044025,9.132024526714808
40 St-Lowery St (7),459.0,Queens,40.743782,-73.92402,POINT (-73.92402 40.743782),2023,7214.884615384615,8.884040071507163
40 St-Lowery St (7),459.0,Queens,40.743782,-73.92402,POINT (-73.92402 40.743782),2024,7233.955974842767,8.886679554021883
45 St (R),33.0,Brooklyn,40.648937,-74.01001,POINT (-74.01001 40.648937),2023,5867.987179487179,8.677437356110076
45 St (R),33.0,Brooklyn,40.648937,-74.01001,POINT (-74.01001 40.648937),2024,5531.974842767296,8.618480896126034
"46 St (M,R)",270.0,Queens,40.756313,-73.91333,POINT (-73.91333 40.756313),2023,5506.50641025641,8.61386724258983
"46 St (M,R)",270.0,Queens,40.756313,-73.91333,POINT (-73.91333 40.756313),2024,5193.93710691824,8.555439796995797
46 St-Bliss St (7),458.0,Queens,40.743134,-73.918434,POINT (-73.918434 40.743134),2023,9278.72435897436,9.135587122642384
46 St-Bliss St (7),458.0,Queens,40.743134,-73.918434,POINT (-73.918434 40.743134),2024,9210.446540880503,9.128202178901264
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",225.0,Manhattan,40.758663,-73.98133,POINT (-73.98133 40.758663),2023,41141.81410256411,10.62480456394399
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",225.0,Manhattan,40.758663,-73.98133,POINT (-73.98133 40.758663),2024,44426.38993710691,10.701611448696985
"49 St (N,R,W)",10.0,Manhattan,40.7599,-73.98414,POINT (-73.98414 40.7599),2023,17148.44230769231,9.749720933563442
